1	door	ladybug	pain	blurriness
2	A construction used to divide two rooms, temporarily closing the passage between them	small flying insect, typically red with black spots with six legs	A feeling of physical or mental distress	sight out of focus
3	It's an opening, it can be opened or closed.	It is an insect, it has wings, red with black dots. In many cultures it is a  symbol for good luck	It is a feeling, physical or emotional. It is bad, it hurt. 	It is the absence of definite borders, shapelessness.
4	An object that divide two room, closing an hole in a wall. You can open the door to let people enter or get out.	An insect that can fly. It has red or orange color with black dots 	A felling that couscious beings can experince when they suffer	A sensation felt when you can't see clearly the border of something
5	Usable for access from one area to another	Small insect with a red back	Concept that describes a suffering living being	Lack of sharpness
6	Structure that delimits an area and allows access to it	Small round flying insect	Feeling of physical discomfort	Characteristic of lack of clarity or precision
7	an object that is used to block passage but can be moved to pass	a small flying insect of the beatle family, tendentially colored by red. 	an unpleasant burning sensation	a sensation of blurring in the eyes. "you see everything blurred"
8	An assembled object, historically made of wood, but also of iron or other materials, used to separate rooms in a building. Sometimes opened by moving a handle, or pushed, or locked and requires some means to unlock. it consists of the main body, the hinges on which it rotates, and a lock.	Small insect, insectivore, used for natural pest control. Red, with black dots on its back and a black head. Flies and it is considered to bring luck	A negative sensation felt by creatures. It can be of physical nature, if the body is damaged, or psychological.	The inability to accurately perceive a certain kind of goal, whether physical or conceptual.
9	object used to go through rooms separate by a wall, can be opened or closed	small red insect with black dots,  brings luck in some culture.	feeling of physical pain caused by an injury or emotional pain caused by sadness	lack of memory, bad eye vision or unfocused image
11	something that can be opened, in order to access to another place	a small insect, red with black dots	a sentiment that expresses sorrow	a condition thant makes what you are seeing not totally bright and clear
12	the access to a room	small insect with red or yellow dotted coat	unpleasant sensation resulting from physical or emotional exertion	a state of confusion resulting from physical exertion, the use of alcohol or drugs
13	an object that allows access to a room	small flying insect, usually red with black dots	unpleasant physical or emotional sensation	a sense of confusion
14	Enclosing of an entrance that blocks off intruders as well as weather conditions. Can usually be locked with a key of some sort. At times it presents a small opening through which one can see outside.	Tiny flying insect characterised by the red black-dotted coat. Usually considered a good omen.	Feeling that occurs when something bad happens, either phisically or mentally to a being. It could result in light discomfort, up to loud cries.	Property of an object that is hard to make out or see. It usually happens after drug use or illness. Also a propery of a photograph that is out of focus.
15	An object, that allows people to get inside or outside a chamber. Usually it's made with a mechanism that enables a key, which can lock or unlock it.	A small red insect, with black spots that lives on the planet. usually it's associated with good luck if it falls on a human being.	A physical or emotional sensation that can bring discomfort or soreness to a person.	A condition that doesn't allow a person to see in a detailed way other people or objects in a close or far distance.
16	A wall that can be opened and closed at will	A small red insect with black dots	A feeling caused by physical or emotional harm	The absence of clarity and defined borders in an image or visual 
17	A barrier with a mechanism to block or allow access to a room	A red insect with black spots	An unpleasant and harmful feeling	A visual condition that blends details together, losing clarity
18	The way to let people enter or exit a room	An insect that have black small dots on its back	A physical or emotional sensation that is unconfortable 	A phenomenon that disrupts partially the vision of the person or of the camera
19	Artificial object usually made of a hinge, main body and handle. It allows passage between two spaces by being opened. 	Harmless flying insect characterized by black dots on its red wings. Generally associated with good luck.	Feeling of uneasiness that causes physical or emotional harm. 	State of indefiniteness. It is the state for which something that can be perceived is not perceived clearly or metaphorically it is the state of a ill defined concept. 
21	An object that opens and closes and allows you to enter or exit a place	A small flying insect characterized by a red color and black spots, it is said to bring good luck	A non-positive feeling that you feel for tangible or non-tangible situations	A specific condition that makes something less visible. Often used in photographic context when the subject is not in focus
22	Element of the room that allows or blocks the passage through a wall.	Small round insect, usually red with black dots. Generally linked to good luck.	Feeling produced by natural and complex brain that is necessary to make the creature aware of physical or emotional/mental issues.	State that can be attributed to an image, to the natural eye or to a vision device, in which the borders are not clearly defined.
23	object to cross to access a limited place 	Small insect characterized by red color and black dots	unpleasant emotion associated with suffering	characteristic of an undefined image, whose shapes and lines are hard to recognize
24	A rectangular object (usually made out of wood) use to lock access to a room or a house.	A small round insect usually red and black with dots that flies on flowers	A emotion that can be felt when getting harmed or when our body want's to tell us that something isn't right.	A phenomena that happens when something isn't visually clear, with colours that mix near the edges. It can happen on a picture or because of visual problems of the eye.
25	Entrance and exit to a space, building or room.	Red small bug with black spot with a round shape.	Kind of physical or emotional sensation felt in response to something harmful or emotionally damaging.	An effect that affect vision or images that confuses outlines and details making them hard to see.
26	An object that allows the connection between two spaces	A small insect usually characterized by red color and black dots  	a feeling that causes discomfort to those who experience it	A visual effect that makes not clear and hard to see something
27	An architecture to make a person pass through a new space and leave another one	An insect that can fly wich brings luck to a person	Something that hurts a person emotionally or physically	A visual effect which allows you not to see in a clear way objects 
28	entance  to a building or room	A small red insect with black dots. 	sickening sensation	a visual perception that confuses what you are looking at
29	An object that opens or close the entrance of a room	An insect with a red black-dotted back	A bad physical or emotional feeling	A distorted vision
30	Object that lock the entrance of a house	Red insect with black dots on the back	Feeling when you get hurt	Condition of the eyes that can be corrected with eyeglasses
31	A point of access to a space. Physically, an object which blocks the access to a room or a space.	A small insect known for its red wings with black dots	The sensation of being hurt	A faulty perception of a specific object which is perceived as not properly defined.
32	opening that allows something to go in or out	a bug with colored dots	very bad feeling	blinding effect. increases with distance
33	Auxiliary structure built on blank spaces of walls and used to access different areas of building. 	Flying, dome-like structured insect, usually red colored with black-dotted pattern	negative sensation causing discomfort both physically and mentally. 	Lack of texture and quality of image given by low focus
